date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:58:02,510,2.4926686,61,0.2932551,528,2.5806451,436,2.1309874,326,1.5933529,490,2.394917,492,2.4046922,391,1.9110459,310,1.5151515,510,2.4926686,19,0.0879765,752,3.6754644
2025-10-07,15:58:02,520,2.5415444,61,0.2932551,514,2.512219,478,2.3362658,309,1.5102639,490,2.394917,469,2.2922776,396,1.9403715,310,1.5151515,482,2.3558161,19,0.0879765,690,3.3724339
2025-10-07,15:58:02,520,2.5415444,63,0.3079179,434,2.121212,458,2.2385142,309,1.5102639,490,2.394917,566,2.7663734,396,1.9403715,354,1.7350929,482,2.3558161,0,0.0,558,2.7272727
2025-10-07,15:58:03,519,2.5366569,90,0.4349951,434,2.121212,458,2.2385142,466,2.2776148,492,2.3998046,566,2.7663734,388,1.8963832,374,1.827957,544,2.6588466,54,0.2639296,558,2.7272727
2025-10-07,15:58:03,534,2.6099706,90,0.4349951,474,2.3118279,460,2.2482893,506,2.4780059,492,2.3998046,499,2.4389052,437,2.135875,318,1.5591397,597,2.9178886,54,0.2639296,551,2.6930597
2025-10-07,15:58:03,534,2.6099706,177,0.8651026,575,2.8103616,492,2.4046922,506,2.4780059,489,2.394917,466,2.2825024,437,2.135875,318,1.5591397,597,2.9178886,46,0.2248289,457,2.2336266
2025-10-07,15:58:03,518,2.5317693,159,0.7771261,538,2.6295211,492,2.4046922,486,2.3753667,490,2.394917,466,2.2825024,423,2.0674486,304,1.485826,640,3.1280549,36,0.1759531,457,2.2336266
2025-10-07,15:58:03,495,2.4193549,159,0.7771261,538,2.6295211,524,2.5610948,510,2.487781,490,2.394917,459,2.2434018,397,1.9403715,320,1.5640274,640,3.1329424,36,0.1759531,367,1.7937438
2025-10-07,15:58:03,495,2.4193549,154,0.7526882,506,2.4731183,552,2.6979473,510,2.487781,490,2.394917,473,2.3118279,384,1.8817204,320,1.5640274,640,3.1329424,14,0.0684262,323,1.5786902
2025-10-07,15:58:03,508,2.4828935,219,1.0703813,485,2.3704789,552,2.6979473,524,2.5562072,490,2.3998046,473,2.3118279,384,1.8817204,297,1.4516129,676,3.3040078,10,0.0488759,323,1.5786902
2025-10-07,15:58:03,547,2.6735094,293,1.4271749,485,2.3704789,590,2.8836756,453,2.2189639,490,2.394917,498,2.4340177,375,1.8328446,308,1.5053763,635,3.1085043,10,0.0488759,335,1.6373411
2025-10-07,15:58:03,547,2.6735094,293,1.4271749,523,2.5513196,559,2.7370479,453,2.2189639,490,2.394917,506,2.4780059,387,1.8914956,308,1.5053763,635,3.1085043,0,0.0,487,2.3753667
2025-10-07,15:58:03,557,2.7223852,377,1.8426198,556,2.7174976,559,2.7370479,337,1.6520039,491,2.3998046,531,2.5953078,387,1.8914956,349,1.7057674,583,2.8494623,0,0.0,487,2.3753667
2025-10-07,15:58:04,564,2.7565982,340,1.661779,556,2.7174976,536,2.6197457,362,1.7741935,490,2.394917,531,2.5953078,393,1.9257087,354,1.7302053,507,2.4828935,0,0.0,705,3.4457479
2025-10-07,15:58:04,550,2.6881721,340,1.661779,519,2.5366569,569,2.7810361,322,1.5738026,490,2.394917,508,2.4828935,334,1.6324536,354,1.7302053,507,2.4828935,0,0.0,824,4.0273705
2025-10-07,15:58:04,550,2.6881721,317,1.5493646,442,2.1554253,569,2.7810361,322,1.5738026,490,2.394917,498,2.4340177,334,1.6324536,379,1.8523949,425,2.0772238,6,0.0244379,824,4.0273705
2025-10-07,15:58:04,553,2.7028348,421,2.0576735,442,2.1554253,617,3.0156403,444,2.1700881,490,2.394917,498,2.4340177,447,2.1847508,384,1.8768328,365,1.7888563,6,0.0244379,938,4.5845551
2025-10-07,15:58:04,513,2.5073314,421,2.0576735,521,2.5513196,664,3.2502444,448,2.1896384,490,2.394917,485,2.3753667,474,2.3167155,384,1.8768328,365,1.7888563,47,0.2297165,1023,5.0
2025-10-07,15:58:04,513,2.5073314,351,1.7155426,480,2.346041,534,2.6099706,448,2.1896384,489,2.3900294,530,2.5904202,474,2.3167155,369,1.803519,328,1.6031281,52,0.2541544,1023,5.0
2025-10-07,15:58:04,573,2.8005865,277,1.3538612,480,2.346041,534,2.6099706,590,2.8836756,489,2.3900294,530,2.5904202,434,2.121212,396,1.9354838,353,1.7253177,52,0.2541544,1023,5.0
2025-10-07,15:58:04,579,2.8299119,277,1.3538612,530,2.5904202,345,1.686217,618,3.0205278,489,2.3900294,548,2.6735094,413,2.0185728,404,1.9745846,353,1.7253177,35,0.1710655,1023,5.0
2025-10-07,15:58:04,579,2.8299119,288,1.4076246,499,2.4389052,193,0.9481916,618,3.0205278,489,2.3900294,516,2.5268817,413,2.0185728,404,1.9745846,406,1.9843597,30,0.14174,1023,5.0
2025-10-07,15:58:04,590,2.8836756,319,1.5591397,509,2.487781,193,0.9481916,570,2.7859237,489,2.3900294,516,2.5268817,399,1.9501467,405,1.9794722,447,2.1847508,30,0.14174,1023,5.0
2025-10-07,15:58:05,600,2.9325514,319,1.5591397,509,2.487781,145,0.7086999,471,2.3069403,489,2.3900294,481,2.3509285,367,1.7937438,407,1.9941349,447,2.1847508,33,0.1612903,895,4.3743892
